country ,United States,Colombia,Chile,Iceland,United Kingdom,France,South Africa,Uganda,India,China,Philippines,Japan,New Zealand,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006,52.0,52.6,20.9,62.7,59.9,25.4,54.8,38.4,9.6,29.4,61.6,20.3,61.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,55.8,38.3,41.7,64.5,57.7,42.7,59.2,49.0,10.7,35.4,60.6,19.4,62.6,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,55.8,40.7,34.8,64.5,53.1,57.7,56.8,24.7,12.8,35.4,60.9,17.4,59.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
country ,United States,,,Columbia,,,Chile,,,Iceland,,,France,,,United Kingdom ,,,South Africa,,,Uganda,,,India,,,China,,,Philippines,,,Japan,,,New Zealand,,,
countryYear ,United States 2006,United States 2010,United States2014,Columbia 2006,Columbia 2010,Columbia 2014,Chile 2006,Chile 2010,Chile 2014,Iceland 2006,Iceland 2010,Iceland 2014,France 2006,France 2010,France 2014,United Kingdom 2006,United Kingdom 2010,United Kingdom 2014,South Africa 2006,South Africa 2010,South Africa 2014,Uganda 2006,Uganda 2010,Uganda 2014,India 2006,India 2010,India 2014,China 2006,China 2010,China2014,Philippines 2006,Philippines 2010,Philippines 2014,Japan 2006,Japan 2010,Japan 2014,New Zealand 2006,New Zealand 2010,New Zealand 2014,
rank,23,19,20,22,55,53,78,48,66,4,1,1,70,46,16,9,15,26,18,12,18,47,33,88,98,112,114,63,61,87,6,9,9,79,94,104,7,5,13,
rate for rank,0.2,0.1,0.1,0.2,0.4,0.4,0.7,0.4,0.5,0.0,0.0,0.0,0.6,0.3,0.1,0.1,0.1,0.2,0.2,0.1,0.1,0.4,0.2,0.6,0.9,0.8,0.8,0.5,0.5,0.6,0.1,0.1,0.1,0.7,0.7,0.7,0.1,0.0,0.1,
Distance to 65in,13.0,9.2,9.2,12.4,26.7,24.3,44.1,23.3,30.2,2.3,0.5,0.5,39.6,22.3,7.3,5.1,7.3,11.9,10.2,5.8,8.2,26.6,16.0,40.3,55.4,54.3,52.2,35.6,29.6,39.8,3.4,4.4,4.1,44.7,45.6,47.6,4.0,2.4,6.0,
height/inch,52.0,55.8,55.8,52.6,38.3,40.7,20.9,41.7,34.8,62.7,64.5,64.5,25.4,42.7,57.7,59.9,57.7,53.1,54.8,59.2,56.8,38.4,49.0,24.7,9.6,10.7,12.8,29.4,35.4,25.2,61.6,60.6,60.9,20.3,19.4,17.4,61.0,62.6,59.0,
