country_year,population,gdp,ppp,mar_age
Iceland_2006,0.3,15.82,35586,31
Iceland_2010,0.32,11.86,33980,28
Iceland_2014,0.32,17.63,28569,28
Philippines_2006,83.1,97.65,4923,24
Philippines_2010,90.35,110.71,3216,23
Philippines_2014,98.39,155.56,6005,24
New Zealand_2006,4,108.55,24769,25
New Zealand_2010,4.27,64.01,24872,26
New Zealand_2014,4.47,128.94,32240,26
France_2006,60.5,2105.86,29316,30
France_2010,62.28,1515,29578,32
France_2014,66.03,2254.25,36085,32
South Africa_2006,47.4,239.14,12160,28
South Africa_2010,48.69,183.25,9332,28
South Africa_2014,52.98,313.47,12.42,31
United Kingdom_2006,59.7,2201.47,30470,26
United Kingdom_2010,61.41,1778.27,32147,26
United Kingdom_2014,64.1,2432.81,34658,32
United States_2006,298.2,12485.73,41399,26
United States_2010,304.06,11513.87,42107,26
United States_2014,316.13,14498.62,50866,27
Columbia_2006,45.6,122.27,7565,23
Columbia_2010,45.01,134.42,8043,23
Columbia_2014,48.32,211.47,11637,22
Chile_2006,16.3,113.96,11937,23
Chile_2010,16.8,104.38,13057,25
Chile_2014,17.62,171.41,21049,27
China_2006,1315.8,2224.81,7204,23
China_2010,1324.66,2602.57,6200,23
China_2014,1357.38,4864,10756,25
Uganda_2006,28.8,8.71,1617,20
Uganda_2010,31.66,11.02,1105,20
Uganda_2014,37.58,15.59,1334,20
Japan_2006,128.1,4571.31,30615,29
Japan_2010,127.7,5166.28,29688,29
Japan_2014,127.34,4766.66,34882,30
India_2006,1103.4,445.41,3344,20
India_2010,1139.96,817.94,2970,20
India_2014,1252.14,1458.74,5050,20
