country,lon,lat
China,103.53515625,35.17380831799959
Japan,138.603515625,36.527294814546245
Philippines,122.62939453125001,11.178401873711785
India,79.3212890625,22.39071391683855
New Zealand,173.1884765625,-41.836827860727134
Iceland,-378.28125,64.8115572502203
France,-357.64892578124994,47.502358951968574
South Africa,-336.1376953125,-29.382175075145277
Mozambique,-323.0859375,-16.720385051694
Colombia,-432.77343749999994,3.118576216781991
Chile,-432.158203125,-36.84446074079562
Uganda,-327.50244140625,1.5598658653430082
United States,-458.173828125,40.01078714046552
